Name	Width	Depth	Height	Visible
Door	1,200	358	2,085	true
Garage door	5,000	185	2,050	true
Double French window	1,570	252	2,060	true
Double French window	850	252	2,100	true
Door	820	145	2,085	true
Shower	1,520	900	2,110	true
Toilet unit	400	800	620	true
Washbasin with cabinet	870	570	970	true
Door frame	820	95	2,085	true
Door	720	145	2,085	true
Door	820	145	2,085	true
Window	600	252	1,800	true
Stairs	2,600	3,350	3,478	true
Door	720	145	2,085	true
Door	820	358	2,085	true
Fridge	905	688	1,800	true
Double French window	2,650	252	850	true
Slider pocket door	770	75	2,125	true
Sliding French doors	3,123	185	2,400	true
Sliding French doors	3,123	185	2,400	true
Double window	2,650	252	1,740	true
Fixed window	850	185	2,360	true
Fixed window	850	185	2,360	true
Small window	3,010	252	727	true
Small window	1,810	252	727	true
Small window	1,810	252	610	true
SUV	2,091	4,631	1,627	true
SUV	2,091	4,631	1,627	true
TV	1,880	100	1,050	true
Sofa 3 seats	3,000	740	879	true
Sofa 3 seats	3,500	740	879	true
Door frame	1,100	95	2,085	true
Bed	1,980	2,030	785	true
Door	820	145	2,085	true
Door frame	980	95	2,085	true
Toilets unit	448	850	765	true
Slider window	2,170	233	1,370	true
Slider window	1,030	233	610	true
Slider window	2,170	233	1,370	true
Door	720	145	2,085	true
Slider window	1,030	233	610	true
Toilets unit	448	850	765	true
Door	720	145	2,085	true
Box	4,800	650	900	true
Box	3,000	1,200	900	true
Box	2,350	650	900	true
Bed	1,672	2,201	785	true
Toilet unit	400	800	620	true
Washbasin with cabinet	870	570	970	true
Box	2,500	650	750	true
Slider pocket door	820	75	2,125	true
Slider pocket door	820	75	2,125	true
Sofa 3 seats	2,234	740	879	true
TV	1,880	100	1,050	true
Box	4,250	650	500	true
Table	2,500	934	724	true
Door	820	145	2,085	true
Slider pocket door	820	75	2,125	true
Door	820	145	2,085	true
Box	2,500	650	500	true
Door	820	145	2,085	true
Slider pocket door	842	75	2,125	true
Slider pocket door	842	75	2,125	true
Slider pocket door	842	75	2,125	true
Slider pocket door	842	75	2,125	true
Door	820	145	2,085	true
Door	820	145	2,085	true
Sofa 3 seats	3,500	740	879	true
Sofa 3 seats	3,500	740	879	true
Box	3,000	650	500	true
TV	1,880	100	1,050	true
Slider window	2,170	233	1,370	true
Slider window	2,170	233	1,370	true
Slider window	2,170	233	1,370	true
Slider window	2,170	233	1,370	true
Slider window	1,000	233	1,370	true
Slider window	1,000	233	1,370	true
Slider window	1,000	233	1,370	true
Bed	1,980	2,030	785	true
Slider window	1,030	233	610	true
Slider window	1,030	233	610	true
Door	820	145	2,085	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
Ceiling lamp	300	300	54	true
